neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Waltham Forest,51.58105,-0.01884,Shared room,40,1,2,0,0
Tower Hamlets,51.53382,-0.03532,Shared room,30,1,1,0,0
Hillingdon,51.50418,-0.42104,Shared room,32,1,1,0,0
Waltham Forest,51.58041,-0.01933,Shared room,35,1,2,0,0
Bromley,51.41096,-0.05748,Shared room,188,1,4,0,0
Bromley,51.41077,-0.05707,Shared room,188,1,4,0,0
Lewisham,51.47284,-0.02388,Shared room,55,1,1,0,0
Islington,51.55373,-0.13341,Shared room,21,1,1,0,0
Islington,51.53047,-0.09934,Shared room,30,1,1,0,0
Haringey,51.5903,-0.07954,Shared room,35,1,1,0,0
Redbridge,51.59929,0.04266,Shared room,60,1,1,365,0
Camden,51.52803,-0.12928,Shared room,500,14,1,364,0
Hackney,51.54876,-0.06618,Shared room,39,1,2,0,0
Merton,51.40471,-0.17055,Shared room,35,1,1,0,0
Hounslow,51.47318,-0.35914,Shared room,13,3,1,0,0
Newham,51.5374,0.03369,Shared room,45,1,1,0,0
Westminster,51.52034,-0.17032,Shared room,38,1,4,282,74
Tower Hamlets,51.51332,-0.05801,Shared room,150,8,1,0,0
Haringey,51.60467,-0.05586,Shared room,35,3,2,70,0
Newham,51.53535,0.0036,Shared room,99,1,5,54,4
Camden,51.53073,-0.1207,Shared room,112,1,2,76,22
Tower Hamlets,51.5288,-0.04868,Shared room,23,5,1,0,0
Lambeth,51.49682,-0.11264,Shared room,25,1,4,246,103
Westminster,51.48901,-0.14676,Shared room,30,1,4,259,100
Brent,51.54643,-0.20942,Shared room,12,2,57,109,9
Camden,51.52086,-0.13186,Shared room,76,1,1,0,0
Waltham Forest,51.56086,-0.00597,Shared room,17,12,3,161,0
Waltham Forest,51.55994,-0.0111,Shared room,193,2,1,0,0
Kensington and Chelsea,51.50174,-0.2135,Shared room,65,2,1,53,0
Wandsworth,51.44343,-0.21659,Shared room,80,1,2,155,6
Camden,51.53112,-0.12286,Shared room,69,1,1,0,0
Tower Hamlets,51.51218,-0.05022,Shared room,35,2,2,0,0
Islington,51.56589,-0.12953,Shared room,35,1,1,0,0
Wandsworth,51.46266,-0.17485,Shared room,78,1,1,0,0
Tower Hamlets,51.5229,-0.03715,Shared room,65,7,1,363,0
