neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Kensington and Chelsea,51.49213,-0.16434,Hotel room,198,3,42,284,2
Kensington and Chelsea,51.49089,-0.16584,Hotel room,210,3,42,243,1
Westminster,51.51174,-0.12757,Hotel room,415,7,3,338,0
Westminster,51.52424,-0.17339,Hotel room,69,1,3,0,0
Westminster,51.51231,-0.19295,Hotel room,322,1,5,0,0
Westminster,51.51443,-0.19172,Hotel room,307,1,5,0,0
Westminster,51.51415,-0.19208,Hotel room,330,1,5,0,0
Westminster,51.51268,-0.19369,Hotel room,329,1,5,0,0
Westminster,51.51892,-0.14112,Hotel room,111,2,1,0,0
Camden,51.54962,-0.15544,Hotel room,58,1,1,0,0
Hackney,51.56588,-0.10213,Hotel room,100,1,6,344,7
Hackney,51.56588,-0.10213,Hotel room,149,1,6,328,2
Hackney,51.56588,-0.10213,Hotel room,151,1,6,327,1
Hackney,51.56588,-0.10213,Hotel room,190,1,6,348,8
Hackney,51.56588,-0.10213,Hotel room,270,1,6,347,5
Hackney,51.56591,-0.1022,Hotel room,367,1,6,292,1
Hammersmith and Fulham,51.49335,-0.22449,Hotel room,160,1,5,56,1
Hammersmith and Fulham,51.49335,-0.22449,Hotel room,44,1,5,205,2
Hammersmith and Fulham,51.49335,-0.22449,Hotel room,43,1,5,111,1
Kensington and Chelsea,51.4919,-0.18812,Hotel room,0,1,1,0,0
Westminster,51.51181,-0.17742,Hotel room,0,1,1,0,0
Westminster,51.49033,-0.14031,Hotel room,0,1,2,0,5
Southwark,51.50044,-0.09284,Hotel room,0,1,1,0,12
Wandsworth,51.46568,-0.156,Hotel room,0,1,1,0,27
Westminster,51.52037,-0.17035,Hotel room,0,1,1,0,0
Westminster,51.48898,-0.14681,Hotel room,0,1,1,0,0
Southwark,51.503819,-0.094795,Hotel room,0,1,1,0,38
Kensington and Chelsea,51.49064,-0.19367,Hotel room,0,1,1,0,0
Kensington and Chelsea,51.50182,-0.18679,Hotel room,0,1,1,0,0
Westminster,51.51328,-0.193,Hotel room,0,1,1,0,0
Southwark,51.505835275767154,-0.0990022653443623,Hotel room,0,1,1,0,0
Hackney,51.52521330630471,-0.0797599068941464,Hotel room,0,1,1,0,0
Westminster,51.48962,-0.13916,Hotel room,779,1,7,343,0
Hackney,51.56337,-0.10182,Hotel room,190,1,4,329,16
Richmond upon Thames,51.45692,-0.30576,Hotel room,59,1,5,0,0
